Number,Name,Address,Latitude,Longitude,Banking,Bonus,Status,Bike_stands,Available_bike_stands,Available_bikes,Last_update
2,BLESSINGTON STREET,Blessington Street,53.356769,-6.26814,True,False,OPEN,20,20,0,1523800381000
75,JAMES STREET,James Street,53.343456,-6.287409,True,False,OPEN,40,9,31,1523800574000
26,MERRION SQUARE WEST,Merrion Square West,53.339764,-6.251988,True,False,OPEN,20,0,20,1523800488000
65,CONVENTION CENTRE,Convention Centre,53.34744,-6.238523,True,False,OPEN,40,32,8,1523800426000
15,HARDWICKE STREET,Hardwicke Street,53.355473,-6.264423,False,False,OPEN,16,16,0,1523800509000
86,PARKGATE STREET,Parkgate Street,53.347972,-6.291804,True,False,OPEN,38,14,24,1523800556000
35,SMITHFIELD,Smithfield,53.347692,-6.278214,False,False,OPEN,30,12,18,1523800271000
10,DAME STREET,Dame Street,53.344007,-6.266802,True,False,OPEN,16,2,14,1523800648000
100,HEUSTON BRIDGE (SOUTH),Heuston Bridge (South),53.347106,-6.292041,False,False,OPEN,25,4,21,1523800328000
24,CATHAL BRUGHA STREET,Cathal Brugha Street,53.352149,-6.260533,False,False,OPEN,20,13,7,1523800384000
64,SANDWITH STREET,Sandwith Street,53.345203,-6.247163,False,False,OPEN,40,36,4,1523800425000
85,ROTHE ABBEY,Rothe Abbey,53.338776,-6.30395,True,False,OPEN,35,31,4,1523800497000
33,PRINCES STREET / O'CONNELL STREET,Princes Street / O'Connell Street,53.349013,-6.260311,True,False,OPEN,23,0,23,1523800297000
44,UPPER SHERRARD STREET,Upper Sherrard Street,53.358437,-6.260641,False,False,OPEN,30,29,1,1523800292000
89,FITZWILLIAM SQUARE EAST,Fitzwilliam Square East,53.335211,-6.2509,False,False,OPEN,40,40,0,1523800233000
57,GRATTAN STREET,Grattan Street,53.339629,-6.243778,False,False,OPEN,23,19,4,1523800553000
80,ST JAMES HOSPITAL (LUAS),St James Hospital (Luas),53.341359,-6.292951,False,False,OPEN,40,18,22,1523800610000
41,HARCOURT TERRACE,Harcourt Terrace,53.332763,-6.257942,False,False,OPEN,20,18,2,1523800350000
3,BOLTON STREET,Bolton Street,53.351182,-6.269859,False,False,OPEN,20,20,0,1523800407000
46,STRAND STREET GREAT,Strand Street Great,53.347082,-6.264192,True,False,OPEN,35,1,34,1523800404000
40,JERVIS STREET,Jervis Street,53.3483,-6.266651,True,False,OPEN,21,3,18,1523800621000
29,ORMOND QUAY UPPER,Ormond Quay Upper,53.346057,-6.268001,True,False,OPEN,29,0,29,1523800179000
70,BARROW STREET,Barrow Street,53.341655,-6.236198,True,False,OPEN,40,18,22,1523800554000
103,GRANGEGORMAN LOWER (SOUTH),Grangegorman Lower (South),53.354663,-6.278681,False,False,OPEN,40,32,8,1523800175000
28,MOUNTJOY SQUARE WEST,Mountjoy Square West,53.356299,-6.258586,False,False,OPEN,30,18,12,1523800488000
39,WILTON TERRACE,Wilton Terrace,53.332383,-6.252717,True,False,OPEN,20,12,8,1523800434000
83,EMMET ROAD,Emmet Road,53.340714,-6.308191,False,False,OPEN,40,29,11,1523800052000
92,HEUSTON BRIDGE (NORTH),Heuston Bridge (North),53.347802,-6.292432,False,False,OPEN,40,26,14,1523800592000
21,LEINSTER STREET SOUTH,Leinster Street South,53.34218,-6.254485,False,False,OPEN,30,0,30,1523800651000
88,BLACKHALL PLACE,Blackhall Place,53.3488,-6.281637,False,False,OPEN,30,21,9,1523800288000
